year,full_name,gender,age,finish_time,finish_time_seconds,previous_time,progression_percentage,vitesse_finish_time,formatted_date_marathon,noc,pos,marathon_city_loc,rank_actual,score_total,half_marathon,QP,time_qualif,time_qualif_seconds,vitesse_qualif,formatted_date_qualif,Height,Weight,Sponsor,Followers,Height_1,Weight_1,Sponsor_1,Followers_1,Year_inauguration,Estimated_Spectators,Denivele_positif,Denivele_negatif,Month_of_Race,Nb_participant_moy,Season
2022,Nicolas NAVARRO,M,33,02:08:30,7710,7970,-0.03,19.610894941634243,20/02/2022,FRA,13,Sevilla,124,1227,0,24,02:05:53,7553,20.018535681186286,03/12/2023,170,54,,25000,170,54,,25000,2024,330000,436,438,Aout,88,Summer
2022,Nicolas NAVARRO,M,33,02:07:01,7621,7841,-0.03,19.839916021519485,04/12/2022,FRA,13,Valencia,124,1227,0,24,02:05:53,7553,20.018535681186286,03/12/2023,170,54,,25000,170,54,,25000,2024,330000,436,438,Aout,88,Summer
2023,Nicolas NAVARRO,M,33,02:06:45,7605,7621,0.0,19.88165680473373,19/02/2023,FRA,8,Sevilla,124,1227,0,24,02:05:53,7553,20.018535681186286,03/12/2023,170,54,,25000,170,54,,25000,2024,330000,436,438,Aout,88,Summer
2023,Nicolas NAVARRO,M,33,02:05:53,7553,7605,-0.01,20.018535681186286,03/12/2023,FRA,14,Valencia,124,1227,0,24,02:05:53,7553,20.018535681186286,03/12/2023,170,54,,25000,170,54,,25000,2024,330000,436,438,Aout,88,Summer
2023,Emile CAIRESS,M,27,02:08:07,7687,,,19.669572004683232,23/04/2023,GBR,6,London,126,1226,1,65,02:08:07,7687,19.669572004683232,23/04/2023,,,,9432,,,,9432,2024,330000,436,438,Aout,88,Summer
2019,Mehdi FRÈRE,M,28,02:14:25,8065,,,18.747675139491633,01/12/2019,FRA,38,Valencia,132,1224,0,19,02:05:43,7543,20.045074903884398,03/12/2023,180,66,,19500,180,66,,19500,2024,330000,436,438,Aout,88,Summer
2020,Mehdi FRÈRE,M,28,02:08:55,7735,8065,-0.04,19.547511312217193,06/12/2020,FRA,20,Valencia,132,1224,0,19,02:05:43,7543,20.045074903884398,03/12/2023,180,66,,19500,180,66,,19500,2024,330000,436,438,Aout,88,Summer
2022,Mehdi FRÈRE,M,28,02:09:18,7758,7735,0.0,19.48955916473318,04/12/2022,FRA,23,Valencia,132,1224,0,19,02:05:43,7543,20.045074903884398,03/12/2023,180,66,,19500,180,66,,19500,2024,330000,436,438,Aout,88,Summer
2023,Mehdi FRÈRE,M,28,02:11:04,7864,7758,0.01,19.226856561546288,02/04/2023,FRA,10,Paris,132,1224,0,19,02:05:43,7543,20.045074903884398,03/12/2023,180,66,,19500,180,66,,19500,2024,330000,436,438,Aout,88,Summer
2023,Mehdi FRÈRE,M,28,02:05:43,7543,7919,-0.05,20.045074903884398,03/12/2023,FRA,9,Valencia,132,1224,0,19,02:05:43,7543,20.045074903884398,03/12/2023,180,66,,19500,180,66,,19500,2024,330000,436,438,Aout,88,Summer
