year,full_name,gender,age,finish_time,finish_time_seconds,previous_time,progression_percentage,vitesse_finish_time,formatted_date_marathon,noc,pos,marathon_city_loc,rank_actual,score_total,half_marathon,QP,time_qualif,time_qualif_seconds,vitesse_qualif,formatted_date_qualif,Height,Weight,Sponsor,Followers,Year_inauguration,Estimated_Spectators,Denivele_positif,Denivele_negatif,Month_of_Race,Nb_participant_moy,Season
2023,Shokhrukh DAVLYATOV,M,28,02:07:02,7622.0,8269,-0.08,19.837313041196534,03/12/2023,UZB,18,Valencia,504,1129,1.0,39,02:07:02,7622.0,19.837313041196534,03/12/2023,,,,,2024,330000,436,438,Aout,88,Summer
2023,Tigst ASSEFA,F,28,02:15:37,8025.0,9241,-0.075,18.844792097469096,25/09/2022,ETH,1,Berlin,1,1488,0.0,1,02:11:53,7913.0,19.107797295589538,24/09/2023,168.0,53.0,,33500.0,2024,330000,436,438,Aout,88,Summer
2022,Amane Beriso SHANKULE,F,33,02:14:58,8098.0,8691,-0.07,18.671276858483576,04/12/2022,ETH,1,Valencia,2,1462,0.0,3,02:14:58,8098.0,18.671276858483576,04/12/2022,180.0,58.0,,,2024,330000,436,438,Aout,88,Summer
2023,Sifan HASSAN,F,31,02:18:33,8313.0,,,18.188379646337062,23/04/2023,NED,1,London,3,1443,0.0,2,02:13:44,8024.0,18.843469591226324,08/10/2023,170.0,49.0,,273000.0,2024,330000,436,438,Aout,88,Summer
2020,Ruth CHEPNGETICH,F,30,02:22:59,8552.0,8556,-0.035,17.680251066592056,08/04/2018,KEN,2,Paris,4,1443,0.0,4,02:15:37,8137.0,18.581786899348657,08/10/2023,165.0,48.0,,16900.0,2024,330000,436,438,Aout,88,Summer
2023,Rosemary WANJIRU,F,30,02:18:00,8234.0,,-0.01,18.363458720078164,25/09/2022,KEN,2,Berlin,6,1412,0.0,6,02:16:14,8174.0,18.497675556643014,03/03/2024,159.0,45.0,,1041.0,2024,330000,436,438,Aout,88,Summer
2022,Joyciline JEPKOSGEI,F,31,02:18:40,8290.0,8558,-0.013333333333333334,18.238986806375713,06/12/2020,KEN,2,Valencia,12,1371,0.0,7,02:17:23,8243.0,18.342836345990538,08/10/2023,156.0,52.0,,4144.0,2024,330000,436,438,Aout,88,Summer
2024,Honami MAEDA,F,28,02:32:19,8759.75,,-0.0071428571428571426,17.274381669072426,29/01/2017,JPN,12,Osaka,15,1348,0.0,9,02:18:59,8339.0,18.131670464084422,28/01/2024,166.0,44.0,,16600.0,2024,330000,436,438,Aout,88,Summer
2021,Lonah Chemtai SALPETER,F,36,02:40:16,8738.3333333333339,9617,-0.073333333333333334,17.386784387536391,25/09/2016,ISR,11,Berlin,18,1344,0.0,32,02:23:30,8610.0,17.5609756097561,06/11/2022,165.0,52.0,,8635.0,2024,330000,436,438,Aout,88,Summer
2019,Emily SISSON,F,33,02:23:08,8588.0,,,17.6059618071728,28/04/2019,USA,6,London,24,1327,0.0,23,02:22:09,8529.0,17.72775237425255,08/10/2023,165.0,47.0,,150000.0,2024,330000,436,438,Aout,88,Summer
2023,Betsy SAINA,F,36,02:22:56,8538.0,,-0.07,17.709416154521513,08/04/2018,KEN,1,Paris,31,1318,0.0,10,02:19:17,8357.0,18.092616967811416,03/03/2024,168.0,47.0,,41300.0,2024,330000,436,438,Aout,88,Summer
2023,Worknesh DEGEFA,F,34,02:15:51,8151.0,8378,-0.03,18.549871181450129,03/12/2023,ETH,1,Valencia,33,1310,1.0,5,02:15:51,8151.0,18.549871181450129,03/12/2023,155.0,45.0,,,2024,330000,436,438,Aout,88,Summer
2024,Mizuki MATSUDA,F,29,02:22:44,8592.57142857143,,-0.01,17.603079195852729,28/01/2018,JPN,1,Osaka,36,1303,0.0,20,02:21:44,8504.0,17.779868297271875,05/03/2023,158.0,46.0,,,2024,330000,436,438,Aout,88,Summer
2023,Magdalena SHAURI,F,28,02:18:41,8321.0,9208,-0.1,18.170892921523858,24/09/2023,TAN,3,Berlin,51,1280,1.0,8,02:18:41,8321.0,18.170892921523858,24/09/2023,,,,724.0,2024,330000,436,438,Aout,88,Summer
2023,Majida MAAYOUF,F,35,02:33:12,8697.25,,-0.02,17.404146643061296,01/12/2019,MAR,19,Valencia,53,1280,0.0,17,02:21:01,8461.0,17.870228105424889,04/12/2022,,,,15500.0,2024,330000,436,438,Aout,88,Summer
2022,Dolshi TESFU,F,25,02:20:40,8440.0,,,17.914691943127963,04/12/2022,ERI,9,Valencia,55,1274,0.0,14,02:20:40,8440.0,17.914691943127963,04/12/2022,,,,,2024,330000,436,438,Aout,88,Summer
2023,Joan Chelimo MELLY,F,34,02:26:24,8549.4,,-1.7347234759768071e-18,17.690864776070477,03/03/2019,KEN,8,Tokyo,61,1267,0.0,42,02:24:16,8656.0,17.467652495378928,03/12/2023,168.0,55.0,,39300.0,2024,330000,436,438,Aout,88,Summer
2023,Hitomi NIIYA,F,36,02:31:02,8709.0,,-0.015,17.375839684837494,18/02/2007,JPN,1,Tokyo,62,1267,0.0,11,02:19:24,8364.0,18.077474892395983,15/01/2023,165.0,44.0,,26600.0,2024,330000,436,438,Aout,88,Summer
2023,Desi Jisa MOKONIN,F,27,02:31:30,8819.5,8645,0.030000000000000002,17.159971231653522,08/04/2018,BRN,9,Paris,65,1266,0.0,15,02:20:47,8447.0,17.899846099206819,20/01/2023,164.0,51.0,,,2024,330000,436,438,Aout,88,Summer
2024,Stella CHESANG,F,28,02:23:36,8616.0,8423,0.02,17.548746518105848,28/01/2024,UGA,4,Osaka,67,1263,0.0,12,02:20:23,8423.0,17.950848866199692,23/04/2023,161.0,43.0,,1169.0,2024,330000,436,438,Aout,88,Summer
2023,Delvine Relin MERINGOR,F,32,02:23:25,8605.0,8449,0.02,17.571179546775131,24/09/2023,ROU,12,Berlin,80,1246,0.0,16,02:20:49,8449.0,17.895608947804472,19/03/2023,,,,,2024,330000,436,438,Aout,88,Summer
2023,Sofiia YAREMCHUK,F,30,02:24:02,8619.0,8736,-0.01,17.542763279401331,23/04/2023,ITA,9,London,92,1241,0.0,30,02:23:16,8596.0,17.589576547231268,03/12/2023,170.0,49.0,,12600.0,2024,330000,436,438,Aout,88,Summer
